Login_ID,Contest_ID,Contest_Name,Sport_Type,Time_Spent_Hours,Item_Purchased,Purchase_Value,Age_Group,Location,Device,Gender,Purchase_Value
C001_1,C001,Football Prediction Challenge,Football,85.27,Match Tickets,715.49,36-45,India,Tablet,Male,0
C001_2,C001,Football Prediction Challenge,Football,155.9,Match Tickets,104.18,36-45,Germany,Tablet,Female,0
C001_3,C001,Football Prediction Challenge,Football,848.95,,0,18-25,USA,Mobile,Male,0
C001_4,C001,Football Prediction Challenge,Football,271.91,Signed Jersey,514.5,26-35,USA,Mobile,Female,0
C001_5,C001,Football Prediction Challenge,Football,774.55,,0,26-35,Australia,Desktop,Female,0
C001_6,C001,Football Prediction Challenge,Football,342.39,,0,<18,Brazil,Mobile,Female,0
C001_7,C001,Football Prediction Challenge,Football,866.35,,0,26-35,UK,Tablet,Male,0
C001_8,C001,Football Prediction Challenge,Football,179.54,,0,18-25,USA,Desktop,Male,0
C001_9,C001,Football Prediction Challenge,Football,768.46,,0,26-35,Brazil,Mobile,Male,0
C001_10,C001,Football Prediction Challenge,Football,228.99,,0,18-25,Brazil,Mobile,Male,0
C001_11,C001,Football Prediction Challenge,Football,92.38,Discount Voucher,586.35,60+,India,Mobile,Female,0
C001_12,C001,Football Prediction Challenge,Football,722.49,,0,18-25,Germany,Mobile,Male,0
C001_13,C001,Football Prediction Challenge,Football,146.91,,0,18-25,India,Mobile,Male,0
C001_14,C001,Football Prediction Challenge,Football,198.24,,0,18-25,India,Mobile,Female,0
C001_15,C001,Football Prediction Challenge,Football,616.19,,0,46-60,USA,Mobile,Female,0
C001_16,C001,Football Prediction Challenge,Football,544.55,,0,60+,UK,Mobile,Male,0
C001_17,C001,Football Prediction Challenge,Football,210.42,,0,26-35,USA,Desktop,Male,0
C001_18,C001,Football Prediction Challenge,Football,729.45,,0,26-35,USA,Mobile,Male,0
C001_19,C001,Football Prediction Challenge,Football,765.56,Fan Token,316.11,18-25,UK,Desktop,Female,0
C001_20,C001,Football Prediction Challenge,Football,304.11,,0,18-25,USA,Mobile,Female,0
C001_21,C001,Football Prediction Challenge,Football,220.58,,0,<18,Brazil,Mobile,Male,0
C001_22,C001,Football Prediction Challenge,Football,607.93,,0,36-45,Brazil,Desktop,Female,0
C001_23,C001,Football Prediction Challenge,Football,760.34,,0,18-25,Brazil,Tablet,Male,0
C001_24,C001,Football Prediction Challenge,Football,216.08,Merchandise Pack,350.31,36-45,India,Mobile,Male,0
C001_25,C001,Football Prediction Challenge,Football,389.09,,0,26-35,Australia,Tablet,Female,0
C001_26,C001,Football Prediction Challenge,Football,829.81,,0,26-35,India,Desktop,Female,0
C001_27,C001,Football Prediction Challenge,Football,760.78,,0,46-60,UK,Desktop,Male,0
C001_28,C001,Football Prediction Challenge,Football,584.29,,0,18-25,India,Tablet,Male,0
C001_29,C001,Football Prediction Challenge,Football,858.67,,0,18-25,Brazil,Tablet,Male,0
C001_30,C001,Football Prediction Challenge,Football,315.71,Match Tickets,371.12,26-35,USA,Mobile,Female,0
C001_31,C001,Football Prediction Challenge,Football,327.46,,0,18-25,Germany,Desktop,Female,0
C001_32,C001,Football Prediction Challenge,Football,398.37,,0,18-25,USA,Mobile,Female,0
C001_33,C001,Football Prediction Challenge,Football,828.94,Discount Voucher,329.37,26-35,USA,Tablet,Male,0
C001_34,C001,Football Prediction Challenge,Football,659.7,Discount Voucher,542.73,46-60,Australia,Mobile,Male,0
C001_35,C001,Football Prediction Challenge,Football,345.15,Signed Jersey,620.04,18-25,UK,Tablet,Male,0
C001_36,C001,Football Prediction Challenge,Football,287,,0,18-25,Brazil,Tablet,Female,0
C001_37,C001,Football Prediction Challenge,Football,817.33,Discount Voucher,624.78,18-25,Australia,Mobile,Male,0
C001_38,C001,Football Prediction Challenge,Football,133.42,,0,26-35,Germany,Tablet,Female,0
C001_39,C001,Football Prediction Challenge,Football,342.83,,0,46-60,Germany,Tablet,Male,0
C001_40,C001,Football Prediction Challenge,Football,412.73,Merchandise Pack,512.65,18-25,Germany,Desktop,Female,0
C002_1,C002,Basketball Trivia Challenge,Basketball,348.82,,0,26-35,India,Mobile,Male,0
C002_2,C002,Basketball Trivia Challenge,Basketball,651.56,Merchandise Pack,333.38,26-35,Germany,Tablet,Female,0
C002_3,C002,Basketball Trivia Challenge,Basketball,180.36,,0,26-35,India,Tablet,Male,0
C002_4,C002,Basketball Trivia Challenge,Basketball,119.37,,0,26-35,Australia,Tablet,Female,0
C002_5,C002,Basketball Trivia Challenge,Basketball,210.08,,0,<18,India,Mobile,Male,0
C002_6,C002,Basketball Trivia Challenge,Basketball,159.81,Merchandise Pack,222.28,18-25,USA,Tablet,Male,0
C002_7,C002,Basketball Trivia Challenge,Basketball,444.89,Signed Jersey,452.56,<18,UK,Desktop,Female,0
C002_8,C002,Basketball Trivia Challenge,Basketball,506.41,,0,26-35,UK,Desktop,Female,0
C002_9,C002,Basketball Trivia Challenge,Basketball,576.17,,0,<18,Brazil,Desktop,Female,0
C002_10,C002,Basketball Trivia Challenge,Basketball,294.37,,0,36-45,Australia,Tablet,Female,0
C002_11,C002,Basketball Trivia Challenge,Basketball,721.59,,0,36-45,India,Tablet,Female,0
C002_12,C002,Basketball Trivia Challenge,Basketball,744.62,Signed Jersey,783.67,<18,USA,Mobile,Female,0
C002_13,C002,Basketball Trivia Challenge,Basketball,203.14,,0,26-35,UK,Mobile,Male,0
C002_14,C002,Basketball Trivia Challenge,Basketball,559.42,,0,36-45,Brazil,Tablet,Male,0
C002_15,C002,Basketball Trivia Challenge,Basketball,634.41,,0,26-35,USA,Mobile,Female,0
C002_16,C002,Basketball Trivia Challenge,Basketball,534.55,Signed Jersey,396.25,26-35,Australia,Desktop,Male,0
C002_17,C002,Basketball Trivia Challenge,Basketball,151.57,Fan Token,684.64,36-45,Australia,Desktop,Male,0
C002_18,C002,Basketball Trivia Challenge,Basketball,612.16,,0,26-35,UK,Mobile,Female,0
C002_19,C002,Basketball Trivia Challenge,Basketball,306.93,Fan Token,124.44,<18,Australia,Tablet,Male,0
C002_20,C002,Basketball Trivia Challenge,Basketball,211.38,,0,46-60,Germany,Desktop,Male,0
C002_21,C002,Basketball Trivia Challenge,Basketball,765.3,Fan Token,795.45,18-25,USA,Tablet,Male,0
C002_22,C002,Basketball Trivia Challenge,Basketball,735.98,Merchandise Pack,464.64,26-35,Brazil,Tablet,Female,0
C002_23,C002,Basketball Trivia Challenge,Basketball,120.68,,0,26-35,Brazil,Mobile,Female,0
C002_24,C002,Basketball Trivia Challenge,Basketball,498.29,,0,<18,Australia,Desktop,Male,0
C002_25,C002,Basketball Trivia Challenge,Basketball,497.37,Fan Token,999.38,26-35,Germany,Desktop,Female,0
C002_26,C002,Basketball Trivia Challenge,Basketball,615.83,,0,26-35,India,Desktop,Male,0
C002_27,C002,Basketball Trivia Challenge,Basketball,270.68,Signed Jersey,850.73,<18,Brazil,Tablet,Male,0
C002_28,C002,Basketball Trivia Challenge,Basketball,753.52,,0,<18,USA,Desktop,Female,0
C002_29,C002,Basketball Trivia Challenge,Basketball,714.26,,0,18-25,UK,Desktop,Male,0
C002_30,C002,Basketball Trivia Challenge,Basketball,322.77,Match Tickets,846.8,18-25,India,Mobile,Female,0
C002_31,C002,Basketball Trivia Challenge,Basketball,527.74,,0,26-35,Australia,Desktop,Male,0
C002_32,C002,Basketball Trivia Challenge,Basketball,639.91,,0,36-45,India,Mobile,Male,0
C002_33,C002,Basketball Trivia Challenge,Basketball,567.79,,0,<18,India,Desktop,Female,0
C002_34,C002,Basketball Trivia Challenge,Basketball,676.95,Signed Jersey,759.83,18-25,USA,Desktop,Female,0
C002_35,C002,Basketball Trivia Challenge,Basketball,253.66,,0,36-45,USA,Mobile,Female,0
C002_36,C002,Basketball Trivia Challenge,Basketball,170.81,Fan Token,741.4,36-45,USA,Mobile,Female,0
C002_37,C002,Basketball Trivia Challenge,Basketball,137.69,Match Tickets,593.92,<18,Australia,Desktop,Male,0
C002_38,C002,Basketball Trivia Challenge,Basketball,392.66,,0,26-35,UK,Mobile,Male,0
C002_39,C002,Basketball Trivia Challenge,Basketball,221.86,Discount Voucher,821.11,<18,Germany,Tablet,Female,0
C002_40,C002,Basketball Trivia Challenge,Basketball,244.63,Match Tickets,933.69,26-35,USA,Mobile,Male,0
C003_1,C003,Football Fantasy League Challenge,Basketball,179.28,Match Tickets,150.28,36-45,UK,Mobile,Male,0
C003_2,C003,Football Fantasy League Challenge,Basketball,143.44,Fan Token,229.57,26-35,UK,Mobile,Male,0
C003_3,C003,Football Fantasy League Challenge,Basketball,264.43,,0,26-35,India,Tablet,Male,0
C003_4,C003,Football Fantasy League Challenge,Basketball,165.19,,0,<18,Germany,Mobile,Male,0
C003_5,C003,Football Fantasy League Challenge,Basketball,129.98,,0,36-45,UK,Tablet,Male,0
C003_6,C003,Football Fantasy League Challenge,Basketball,290.07,,0,26-35,India,Desktop,Female,0
C003_7,C003,Football Fantasy League Challenge,Basketball,107.1,,0,18-25,UK,Mobile,Female,0
C003_8,C003,Football Fantasy League Challenge,Basketball,141.88,,0,36-45,USA,Tablet,Female,0
C003_9,C003,Football Fantasy League Challenge,Basketball,78.2,,0,18-25,USA,Mobile,Female,0
C003_10,C003,Football Fantasy League Challenge,Basketball,403.12,,0,<18,India,Tablet,Female,0
C003_11,C003,Football Fantasy League Challenge,Basketball,199.04,,0,36-45,USA,Tablet,Male,0
C003_12,C003,Football Fantasy League Challenge,Basketball,86.98,Signed Jersey,929.21,36-45,India,Mobile,Female,0
C003_13,C003,Football Fantasy League Challenge,Basketball,182.97,,0,18-25,UK,Tablet,Male,0
C003_14,C003,Football Fantasy League Challenge,Basketball,308.27,,0,46-60,Germany,Mobile,Male,0
C003_15,C003,Football Fantasy League Challenge,Basketball,83.23,,0,26-35,Brazil,Mobile,Female,0
C003_16,C003,Football Fantasy League Challenge,Basketball,321.16,Discount Voucher,119.54,36-45,Germany,Tablet,Female,0
C003_17,C003,Football Fantasy League Challenge,Basketball,284.12,,0,26-35,UK,Mobile,Female,0
C003_18,C003,Football Fantasy League Challenge,Basketball,302.75,,0,36-45,Germany,Mobile,Female,0
C003_19,C003,Football Fantasy League Challenge,Basketball,320.6,,0,26-35,India,Mobile,Male,0
C003_20,C003,Football Fantasy League Challenge,Basketball,402.41,,0,36-45,Australia,Desktop,Male,0
C003_21,C003,Football Fantasy League Challenge,Basketball,379.04,,0,<18,India,Desktop,Male,0
C003_22,C003,Football Fantasy League Challenge,Basketball,117.09,,0,<18,UK,Desktop,Male,0
C003_23,C003,Football Fantasy League Challenge,Basketball,136.36,,0,18-25,India,Desktop,Female,0
C003_24,C003,Football Fantasy League Challenge,Basketball,139.12,,0,26-35,Australia,Mobile,Male,0
C003_25,C003,Football Fantasy League Challenge,Basketball,412.97,,0,<18,Australia,Desktop,Male,0
C003_26,C003,Football Fantasy League Challenge,Basketball,127.86,Match Tickets,642.73,26-35,Brazil,Mobile,Female,0
C003_27,C003,Football Fantasy League Challenge,Basketball,338.8,,0,18-25,India,Desktop,Female,0
