Login_ID,Contest_ID,Contest_Name,Date,Daily_Time_Spent_Hours,Age_Group,Location,Device,Fan_Level,Fan_Level_Index1
C001_1,C001,Football Prediction Challenge,1/1/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/2/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/3/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/4/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/5/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/6/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/7/2025,14.84,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/8/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/9/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/10/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/11/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/12/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/13/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/14/2025,11.58,36-45,India,Tablet,Ultra Fan,3
C001_1,C001,Football Prediction Challenge,1/15/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/16/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/17/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/18/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/19/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/20/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/21/2025,7.85,36-45,India,Tablet,Super Fan,3
C001_1,C001,Football Prediction Challenge,1/22/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/23/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/24/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/25/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/26/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/27/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/28/2025,5.06,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/29/2025,2.8,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/30/2025,2.8,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,1/31/2025,2.8,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,2/1/2025,2.8,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,2/2/2025,2.8,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,2/3/2025,2.8,36-45,India,Tablet,Fan,3
C001_1,C001,Football Prediction Challenge,2/4/2025,2.8,36-45,India,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/1/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/2/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/3/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/4/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/5/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/6/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/7/2025,11.98,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/8/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/9/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/10/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/11/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/12/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/13/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/14/2025,11.62,36-45,Germany,Tablet,Ultra Fan,3
C001_2,C001,Football Prediction Challenge,1/15/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/16/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/17/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/18/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/19/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/20/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/21/2025,3.4,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/22/2025,2.86,36-45,Germany,Tablet,Fan,3
C001_2,C001,Football Prediction Challenge,1/23/2025,2.86,36-45,Germany,Tablet,Fan,3
