UID,Language,City,Age,Gender,Sport,Interests,Motivation,TimeSpent,Quiz,News,Blogs,Video,Audio,Pictures,Logs,Points,ShareContent,Quizzes,Reward,DropOff,Engagement,TotalScore,HighEngage,FootballEnthu,RewardSeek,PollEnthu
UID1,Malyalam,Delhi,28,Female,Cricket,Individual,Goal-Oriented,152,Yes,Yes,Yes,No,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID2,Malyalam,Mumbai,46,Male,Golf,Creativity,Performance-Driven,240,No,Yes,Yes,Yes,No,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID3,Telugu,Kochi,47,Female,Golf,Individual,Performance-Driven,146,No,No,Yes,Yes,No,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID4,Hindi,Chennai,23,Female,Golf,Flexibility,Performance-Driven,278,Yes,No,Yes,Yes,No,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID5,Hindi,Mumbai,25,Male,Tennis,Creativity,Competitive-Spirit,317,No,No,No,Yes,No,No,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID6,English,Delhi,33,Female,Football,Flexibility,Performance-Driven,287,No,Yes,No,Yes,Yes,Yes,1,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID7,Hindi,Delhi,31,Male,Hockey,Flexibility,Goal-Oriented,192,No,Yes,No,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID8,English,Chennai,23,Male,Cricket,Individual,Performance-Driven,62,Yes,Yes,No,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID9,English,Mumbai,36,Male,Hockey,Individual,Competitive-Spirit,307,Yes,Yes,No,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID10,Malyalam,Delhi,30,Female,Golf,Flexibility,Competitive-Spirit,128,Yes,No,Yes,No,Yes,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
