Login_ID,Contest_ID,Contest_Name,Week,Week_Time_Spent_Hours,Week_Logins,Age_Group,Location,Device,Fan_Level,Purchase_Item,Purchase_Price,Content_Viewed
C001_1,C001,Football Prediction Challenge,Week_1,103.88,10,36-45,India,Tablet,Ultra Fan,None,0,Behind the Scenes
C001_1,C001,Football Prediction Challenge,Week_2,81.08,8,36-45,India,Tablet,Ultra Fan,Poster,190,Behind the Scenes
C001_1,C001,Football Prediction Challenge,Week_3,54.94,5,36-45,India,Tablet,Super Fan,Poster,162,Match Highlights
C001_1,C001,Football Prediction Challenge,Week_4,35.4,3,36-45,India,Tablet,Fan,Jersey,983,Football Prediction Challenge
C001_1,C001,Football Prediction Challenge,Week_5,19.62,1,36-45,India,Tablet,Fan,Jersey,1128,Football Prediction Challenge
C001_2,C001,Football Prediction Challenge,Week_1,83.89,8,36-45,Germany,Tablet,Ultra Fan,Cap,370,Behind the Scenes
C001_2,C001,Football Prediction Challenge,Week_2,81.31,8,36-45,Germany,Tablet,Ultra Fan,Jersey,1251,Player Interview
C001_2,C001,Football Prediction Challenge,Week_3,23.78,2,36-45,Germany,Tablet,Fan,None,0,Football Prediction Challenge
C001_2,C001,Football Prediction Challenge,Week_4,20.03,2,36-45,Germany,Tablet,Fan,Keychain,125,Live Commentary
C001_2,C001,Football Prediction Challenge,Week_5,19.49,1,36-45,Germany,Tablet,Fan,Cap,491,Football Prediction Challenge
C001_3,C001,Football Prediction Challenge,Week_1,100.16,10,18-25,USA,Mobile,Ultra Fan,Jersey,1169,Football Prediction Challenge
C001_3,C001,Football Prediction Challenge,Week_2,91.43,9,18-25,USA,Mobile,Ultra Fan,None,0,Behind the Scenes
C001_3,C001,Football Prediction Challenge,Week_3,65.51,6,18-25,USA,Mobile,Super Fan,Poster,155,Player Interview
C001_3,C001,Football Prediction Challenge,Week_4,37.09,3,18-25,USA,Mobile,Fan,Cap,562,Behind the Scenes
C001_3,C001,Football Prediction Challenge,Week_5,22.36,2,18-25,USA,Mobile,Fan,None,0,Football Prediction Challenge
C001_4,C001,Football Prediction Challenge,Week_1,110,11,26-35,USA,Mobile,Ultra Fan,Poster,214,Football Prediction Challenge
C001_4,C001,Football Prediction Challenge,Week_2,87.22,8,26-35,USA,Mobile,Ultra Fan,Jersey,1068,Behind the Scenes
C001_4,C001,Football Prediction Challenge,Week_3,41.91,4,26-35,USA,Mobile,Super Fan,Poster,175,Live Commentary
C001_4,C001,Football Prediction Challenge,Week_4,41.13,4,26-35,USA,Mobile,Super Fan,Jersey,861,Football Prediction Challenge
C001_4,C001,Football Prediction Challenge,Week_5,25.31,2,26-35,USA,Mobile,Fan,Jersey,1155,Football Prediction Challenge
C001_5,C001,Football Prediction Challenge,Week_1,86.2,8,26-35,Australia,Desktop,Ultra Fan,Keychain,193,Live Commentary
C001_5,C001,Football Prediction Challenge,Week_2,80.58,8,26-35,Australia,Desktop,Ultra Fan,None,0,Match Highlights
C001_5,C001,Football Prediction Challenge,Week_3,22.42,2,26-35,Australia,Desktop,Fan,Jersey,865,Behind the Scenes
C001_5,C001,Football Prediction Challenge,Week_4,13.64,1,26-35,Australia,Desktop,Fan,Jersey,832,Live Commentary
C001_6,C001,Football Prediction Challenge,Week_1,42.66,4,<18,Brazil,Mobile,Super Fan,Poster,242,Match Highlights
C001_6,C001,Football Prediction Challenge,Week_2,40,4,<18,Brazil,Mobile,Fan,Jersey,1322,Live Commentary
C001_6,C001,Football Prediction Challenge,Week_3,24.56,2,<18,Brazil,Mobile,Fan,Jersey,1103,Behind the Scenes
C001_6,C001,Football Prediction Challenge,Week_4,17.74,1,<18,Brazil,Mobile,Fan,Jersey,1352,Football Prediction Challenge
C001_7,C001,Football Prediction Challenge,Week_1,58.57,5,26-35,UK,Tablet,Super Fan,Jersey,1133,Football Prediction Challenge
C001_7,C001,Football Prediction Challenge,Week_2,77.52,7,26-35,UK,Tablet,Super Fan,Keychain,175,Football Prediction Challenge
C001_7,C001,Football Prediction Challenge,Week_3,92.74,9,26-35,UK,Tablet,Ultra Fan,Cap,461,Match Highlights
C001_7,C001,Football Prediction Challenge,Week_4,110,11,26-35,UK,Tablet,Ultra Fan,Jersey,1098,Live Commentary
C001_8,C001,Football Prediction Challenge,Week_1,109.07,10,18-25,USA,Desktop,Ultra Fan,Jersey,1487,Football Prediction Challenge
C001_8,C001,Football Prediction Challenge,Week_2,95.65,9,18-25,USA,Desktop,Ultra Fan,Poster,206,Match Highlights
C001_8,C001,Football Prediction Challenge,Week_3,61.07,6,18-25,USA,Desktop,Super Fan,Jersey,931,Match Highlights
